UDPV	// User ID
4-12-2020	// Evaluation date
UDLV_LV_08_orientation	4-12-2020	15:40:00:289	// Source file name and timestamp
100.000	// Sampling rate
43.243	// Data capture period

0.020000	// MOE
0.668000	// BslLeft
0.663000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
30	0.116937	-0.840931	0.062003	0.169887	-0.777017	0.098587	0.200063	-0.652792	0.045659	-0.074441	-0.836619	0.060729	-0.117573	-0.766978	0.096646	-0.133363	-0.641802	0.045819	-0.022444	-0.626900	0.053785	0.184023	-0.759057	0.531774	-0.132596	-0.744799	0.539161	0.189576	-0.743137	0.950047	-0.149272	-0.751984	0.952995	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.040057	-0.008021	0.392129	0.035954	0.016696	0.371624	NaN	0.213878	
31	0.116949	-0.840943	0.061935	0.169898	-0.777008	0.098503	0.200152	-0.652711	0.045595	-0.074432	-0.836645	0.060664	-0.117585	-0.767026	0.096647	-0.133373	-0.641817	0.045780	-0.022468	-0.626913	0.053700	0.184004	-0.759060	0.531738	-0.132587	-0.744794	0.539118	0.189604	-0.743138	0.950010	-0.149318	-0.752019	0.952921	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037921	-0.005580	0.391824	0.037785	0.018222	0.371319	NaN	0.213878	
32	0.116948	-0.840951	0.061912	0.169974	-0.777017	0.098397	0.200156	-0.652671	0.045516	-0.074456	-0.836670	0.060643	-0.117598	-0.767051	0.096613	-0.133351	-0.641816	0.045736	-0.022484	-0.626944	0.053648	0.183994	-0.759094	0.531733	-0.132651	-0.744828	0.539124	0.189567	-0.743159	0.950007	-0.149360	-0.752047	0.952863	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.008326	0.391824	0.038090	0.018222	0.372234	NaN	0.213878	
33	0.116910	-0.840970	0.061937	0.169961	-0.777012	0.098424	0.200142	-0.652626	0.045514	-0.074487	-0.836660	0.060675	-0.117622	-0.767072	0.096560	-0.133359	-0.641815	0.045677	-0.022514	-0.626960	0.053637	0.183909	-0.759094	0.531749	-0.132678	-0.744821	0.539061	0.189439	-0.743159	0.950031	-0.149426	-0.752068	0.952849	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038531	-0.010768	0.391214	0.037785	0.016391	0.371319	NaN	0.213878	
34	0.116898	-0.840954	0.061992	0.169942	-0.777031	0.098422	0.200099	-0.652573	0.045543	-0.074515	-0.836648	0.060709	-0.117668	-0.767078	0.096568	-0.133381	-0.641791	0.045658	-0.022518	-0.626952	0.053643	0.183917	-0.759081	0.531805	-0.132731	-0.744851	0.539095	0.189396	-0.743154	0.950107	-0.149505	-0.752164	0.952875	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038226	-0.008631	0.391214	0.036870	0.017001	0.371319	NaN	0.213878	
35	0.116916	-0.840920	0.062013	0.169928	-0.777026	0.098500	0.200105	-0.652592	0.045658	-0.074527	-0.836683	0.060773	-0.117625	-0.767101	0.096576	-0.133381	-0.641827	0.045711	-0.022433	-0.626892	0.053738	0.183867	-0.759066	0.531847	-0.132767	-0.744912	0.539129	0.189328	-0.743173	0.950114	-0.149556	-0.752177	0.952900	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.039446	-0.005885	0.390603	0.037175	0.015475	0.371014	NaN	0.213878	
36	0.116920	-0.840907	0.062026	0.169928	-0.777010	0.098541	0.200169	-0.652594	0.045762	-0.074514	-0.836703	0.060759	-0.117645	-0.767051	0.096652	-0.133379	-0.641852	0.045779	-0.022500	-0.626912	0.053791	0.183891	-0.759050	0.531890	-0.132772	-0.744918	0.539152	0.189315	-0.743191	0.950168	-0.149609	-0.752209	0.952936	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.007716	0.389688	0.038395	0.018222	0.370403	NaN	0.213878	
37	0.116914	-0.840936	0.062025	0.169922	-0.777080	0.098585	0.200053	-0.652747	0.045725	-0.074478	-0.836684	0.060738	-0.117397	-0.766893	0.096465	-0.133363	-0.641834	0.045829	-0.022451	-0.626942	0.053814	0.183846	-0.759038	0.531851	-0.132821	-0.744954	0.539179	0.189208	-0.743224	0.950146	-0.149659	-0.752257	0.952960	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.008936	0.389077	0.036259	0.017001	0.370709	NaN	0.213878	
38	0.116935	-0.840940	0.061994	0.169924	-0.777058	0.098554	0.200029	-0.652819	0.045662	-0.074448	-0.836695	0.060744	-0.117576	-0.766984	0.096624	-0.133386	-0.641837	0.045831	-0.022477	-0.626957	0.053779	0.183800	-0.759104	0.531842	-0.132839	-0.744974	0.539192	0.189106	-0.743297	0.950070	-0.149730	-0.752285	0.952965	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.037921	-0.008936	0.390298	0.036259	0.015170	0.371624	NaN	0.213878	
39	0.116943	-0.840949	0.061943	0.169950	-0.777034	0.098503	0.200033	-0.652843	0.045596	-0.074449	-0.836673	0.060635	-0.117596	-0.767055	0.096600	-0.133373	-0.641842	0.045806	-0.022502	-0.626992	0.053757	0.183777	-0.759133	0.531781	-0.132893	-0.744989	0.539150	0.189067	-0.743370	0.950030	-0.149725	-0.752270	0.952930	0.000000	0.000000	0.000000	0.000000	0.000000	0.811512	0.513285	NaN	-0.038836	-0.008631	0.389383	0.036564	0.017001	0.371014	NaN	0.213878	
