UDPV	// User ID
5-3-2021	// Evaluation date
UDLV_Constant_17_orientation	5-3-2021	14:25:11:343	// Source file name and timestamp
100.000	// Sampling rate
33.893	// Data capture period

0.020000	// MOE
0.615000	// BslLeft
0.634000	// BslRight


Sample #	RHLBX	RHLBY	RHLBZ	RMALX	RMALY	RMALZ	RMELX	RMELY	RMELZ	LHLBX	LHLBY	LHLBZ	LMALX	LMALY	LMALZ	LMELX	LMELY	LMELZ	LMEMX	LMEMY	LMEMZ	LKNLX	LKNLY	LKNLZ	RKNLX	RKNLY	RKNLZ	LTRCX	LTRCY	LTRCZ	RTRCX	RTRCY	RTRCZ	LeftSuccessCount	RightSuccessCount	TargetHit_Left	TargetHit_Right	LeftCount	TrgtLeft	TrgtRight	LSL	RFx	RFy	RFz	LFx	LFy	LFz	RSL	Trgt	
31	0.139026	-0.839687	0.074902	0.184972	-0.787089	0.108251	0.218529	-0.677835	0.036018	-0.070276	-0.841023	0.078855	-0.121428	-0.789022	0.104986	-0.165852	-0.687662	0.034405	-0.068439	-0.646277	0.042882	-0.122075	-0.737357	0.480021	0.196112	-0.722500	0.478079	-0.148902	-0.687855	0.888143	0.230438	-0.679319	0.890367	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.031878	-0.004190	0.313369	0.028053	-0.005573	0.241649	NaN	0.220000	
32	0.139020	-0.839711	0.075069	0.185010	-0.786972	0.108348	0.218471	-0.677670	0.036096	-0.070249	-0.840934	0.079000	-0.121367	-0.788946	0.105051	-0.165825	-0.687471	0.034488	-0.068394	-0.646276	0.042915	-0.122135	-0.737412	0.480305	0.196216	-0.722503	0.478382	-0.148955	-0.687977	0.888372	0.230480	-0.679343	0.890504	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033709	-0.002054	0.313674	0.031410	-0.000385	0.240733	NaN	0.220000	
33	0.139050	-0.839580	0.075245	0.185042	-0.786814	0.108451	0.218493	-0.677442	0.036259	-0.070208	-0.840841	0.079117	-0.121517	-0.788814	0.105235	-0.165842	-0.687292	0.034719	-0.068409	-0.646185	0.042847	-0.122300	-0.737557	0.480716	0.196359	-0.722449	0.478808	-0.149065	-0.688116	0.888553	0.230445	-0.679277	0.890689	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.001138	0.313674	0.028053	-0.004962	0.240733	NaN	0.220000	
34	0.139165	-0.839472	0.075227	0.185051	-0.786761	0.108495	0.218507	-0.677404	0.036406	-0.070175	-0.840766	0.079129	-0.121509	-0.788835	0.105337	-0.165853	-0.687334	0.034751	-0.068395	-0.646197	0.042864	-0.122358	-0.737616	0.480800	0.196386	-0.722468	0.478957	-0.149117	-0.688289	0.888671	0.230375	-0.679332	0.890773	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033404	-0.003885	0.313979	0.028358	-0.007098	0.240733	NaN	0.220000	
35	0.139148	-0.839502	0.075149	0.185011	-0.786847	0.108448	0.218521	-0.677486	0.036422	-0.070192	-0.840775	0.079039	-0.121463	-0.788899	0.105284	-0.165879	-0.687456	0.034713	-0.068396	-0.646213	0.042927	-0.122319	-0.737699	0.480620	0.196311	-0.722564	0.478877	-0.149131	-0.688479	0.888545	0.230359	-0.679414	0.890716	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032183	-0.004190	0.313979	0.028968	-0.000995	0.242869	NaN	0.220000	
36	0.139109	-0.839648	0.075003	0.184978	-0.787053	0.108322	0.218491	-0.677741	0.036300	-0.070260	-0.840914	0.078866	-0.121459	-0.789096	0.105095	-0.165919	-0.687676	0.034607	-0.068410	-0.646313	0.042978	-0.122218	-0.737665	0.480190	0.196210	-0.722721	0.478532	-0.149178	-0.688744	0.888339	0.230354	-0.679622	0.890531	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.033098	-0.002664	0.314590	0.029273	-0.004962	0.241649	NaN	0.220000	
37	0.139039	-0.839796	0.074863	0.184987	-0.787202	0.108241	0.218482	-0.677918	0.036143	-0.070268	-0.841008	0.078770	-0.121521	-0.789172	0.105011	-0.165936	-0.687789	0.034475	-0.068444	-0.646345	0.042993	-0.122174	-0.737662	0.479907	0.196102	-0.722887	0.478204	-0.149133	-0.688880	0.888160	0.230312	-0.679778	0.890406	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.003579	0.313979	0.028968	-0.004352	0.240428	NaN	0.220000	
38	0.139008	-0.839807	0.074853	0.185050	-0.787204	0.108172	0.218542	-0.677923	0.036094	-0.070329	-0.841063	0.078735	-0.121486	-0.789205	0.104934	-0.165897	-0.687726	0.034478	-0.068423	-0.646333	0.042992	-0.122142	-0.737713	0.479811	0.196131	-0.723054	0.478137	-0.149191	-0.689053	0.888095	0.230245	-0.679882	0.890320	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.032488	-0.001138	0.315810	0.028663	-0.004352	0.240428	NaN	0.220000	
39	0.139065	-0.839783	0.074872	0.185056	-0.787181	0.108131	0.218522	-0.677902	0.036055	-0.070336	-0.841080	0.078800	-0.121437	-0.789124	0.104969	-0.165885	-0.687659	0.034483	-0.068441	-0.646309	0.042909	-0.122156	-0.737750	0.479963	0.196168	-0.723149	0.478233	-0.149244	-0.689163	0.888230	0.230282	-0.679992	0.890396	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.034014	-0.001443	0.315200	0.028358	-0.007404	0.241343	NaN	0.220000	
40	0.139188	-0.839591	0.074942	0.185067	-0.787041	0.108195	0.218494	-0.677689	0.036152	-0.070272	-0.840965	0.078933	-0.121411	-0.789062	0.105067	-0.165843	-0.687510	0.034513	-0.068413	-0.646280	0.042864	-0.122305	-0.737901	0.480271	0.196265	-0.723198	0.478554	-0.149348	-0.689261	0.888440	0.230273	-0.679977	0.890578	0.000000	0.000000	0.000000	0.000000	0.000000	0.744140	0.510140	NaN	-0.035235	-0.004495	0.314895	0.031410	-0.002826	0.240733	NaN	0.220000	
